,city,lat,lng,max temp,humidity,cloudiness,wind speed,country,date
352,harper,4.375,-7.7169,299.18,65,47,3.41,LR,1629136363
353,melito di porto salvo,37.9222,15.7714,303.66,51,0,5.66,IT,1629136363
354,hungen,50.4737,8.8933,289.7,84,97,2.68,DE,1629136363
355,shwebo,22.5667,95.7,297.83,84,100,5.23,MM,1629136364
356,weyburn,49.6668,-103.8511,305.27,17,3,3.6,CA,1629136365
357,baihar,22.1,80.55,296.25,92,99,1.3,IN,1629136365
358,upata,8.0086,-62.3989,302.78,57,64,2.61,VE,1629136365
359,sur,22.5667,59.5289,301.57,70,45,6.03,OM,1629136366
360,walcz,53.2779,16.4712,293.1,58,82,5.74,PL,1629136366
361,popondetta,-8.7537,148.2534,295.32,97,76,1.06,PG,1629136366
362,puerto colombia,10.9878,-74.9547,303.2,70,34,2.98,CO,1629136367
363,ziarat,30.3823,67.7282,291.46,54,76,1.76,PK,1629136367
364,ancud,-41.8697,-73.8203,283.94,83,13,11.29,CL,1629136368
365,am timan,11.0297,20.2827,297.85,86,99,2.74,TD,1629136368
366,dukat,62.55,155.55,281.75,92,97,1.52,RU,1629136369
